epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4917,0.84044,1.60406,1.31751,0.5574,0.62619,0.59256,0.50693,0.85328,1.30106,1.28961,0.000414773,0.000414773,0.000414773
2,159.123,0.85052,1.16369,1.30797,0.52765,0.653,0.60704,0.49948,0.91659,1.35373,1.40286,0.000810861,0.000810861,0.000810861
3,233.556,0.84766,1.13349,1.30211,0.386,0.54027,0.48347,0.31544,1.54372,2.08027,1.92574,0.00118632,0.00118632,0.00118632
4,307.627,0.83255,1.11483,1.27716,0.77033,0.64559,0.62256,0.5172,0.87672,1.13264,1.28517,0.00115719,0.00115719,0.00115719
5,381.637,0.81778,1.06672,1.27259,0.61593,0.70273,0.6338,0.55228,0.77812,1.07591,1.20488,0.00112625,0.00112625,0.00112625
6,455.884,0.77615,1.02755,1.24705,0.79223,0.61886,0.64705,0.56426,0.77847,1.03675,1.20518,0.00109531,0.00109531,0.00109531
7,531.414,0.77404,1.0142,1.24009,0.5193,0.7233,0.63188,0.57743,0.69036,1.01798,1.12799,0.00106437,0.00106437,0.00106437
8,606.059,0.74351,0.99333,1.21962,0.57003,0.71167,0.66203,0.59135,0.73731,1.07774,1.14556,0.00103344,0.00103344,0.00103344
9,680.672,0.73807,0.97645,1.21375,0.7262,0.64173,0.65797,0.58979,0.71642,1.01556,1.14348,0.0010025,0.0010025,0.0010025
10,754.399,0.74188,0.9574,1.22435,0.54808,0.72445,0.66672,0.59198,0.71354,1.03725,1.14284,0.000971562,0.000971562,0.000971562
11,829.35,0.72059,0.93973,1.20659,0.53341,0.72942,0.66915,0.60838,0.65406,0.99803,1.08685,0.000940625,0.000940625,0.000940625
12,903.405,0.71359,0.92803,1.20298,0.59615,0.71151,0.67296,0.60707,0.66598,0.98775,1.09888,0.000909688,0.000909688,0.000909688
13,976.681,0.71525,0.92259,1.20566,0.66418,0.6882,0.68879,0.61846,0.6549,0.93176,1.08903,0.00087875,0.00087875,0.00087875
14,1049.53,0.70675,0.91426,1.19661,0.55915,0.72054,0.68266,0.61548,0.69051,1.07885,1.12051,0.000847813,0.000847813,0.000847813
15,1122.99,0.70976,0.89638,1.19698,0.58676,0.71678,0.67245,0.61269,0.65292,0.96772,1.07857,0.000816875,0.000816875,0.000816875
16,1196.97,0.70249,0.89367,1.19438,0.56042,0.73924,0.69024,0.6233,0.66045,0.95198,1.09211,0.000785938,0.000785938,0.000785938
17,1271.27,0.70254,0.89452,1.19512,0.59087,0.72863,0.6907,0.62147,0.66861,0.94151,1.09134,0.000755,0.000755,0.000755
18,1344.59,0.688,0.86201,1.18023,0.55554,0.76299,0.6908,0.63236,0.6289,0.95359,1.06221,0.000724062,0.000724062,0.000724062
19,1419.3,0.68511,0.86532,1.18349,0.61106,0.74438,0.69227,0.62764,0.61702,0.87989,1.0465,0.000693125,0.000693125,0.000693125
20,1493.21,0.68214,0.86456,1.17713,0.59374,0.73153,0.69697,0.63043,0.61954,0.92726,1.06025,0.000662188,0.000662188,0.000662188
21,1567.58,0.68114,0.85469,1.17389,0.61821,0.73311,0.70037,0.63612,0.62846,0.90283,1.05885,0.00063125,0.00063125,0.00063125
22,1641.04,0.67104,0.83675,1.1739,0.60445,0.75826,0.70804,0.64355,0.61799,0.88835,1.04852,0.000600313,0.000600313,0.000600313
23,1714.5,0.66411,0.83754,1.16431,0.59513,0.7261,0.68961,0.6322,0.62833,0.90253,1.05315,0.000569375,0.000569375,0.000569375
24,1788.5,0.66162,0.82148,1.16346,0.58879,0.75917,0.69188,0.63495,0.61994,0.87756,1.04728,0.000538438,0.000538438,0.000538438
25,1861.57,0.66547,0.81481,1.16397,0.60554,0.74858,0.70418,0.64469,0.60096,0.85213,1.03804,0.0005075,0.0005075,0.0005075
26,1934.5,0.66899,0.82778,1.16875,0.60796,0.7727,0.71125,0.64177,0.59847,0.86076,1.02821,0.000476562,0.000476562,0.000476562
27,2008.21,0.65936,0.8165,1.16319,0.60995,0.75442,0.70321,0.63744,0.61372,0.89902,1.04766,0.000445625,0.000445625,0.000445625
28,2081.74,0.64243,0.79569,1.15568,0.58749,0.75967,0.70622,0.6464,0.59674,0.90343,1.03322,0.000414688,0.000414688,0.000414688
29,2155.16,0.6392,0.78379,1.15256,0.63355,0.74145,0.71405,0.64778,0.58737,0.89647,1.01786,0.00038375,0.00038375,0.00038375
30,2228.85,0.65602,0.80347,1.15974,0.62155,0.73805,0.71462,0.65316,0.60866,0.84695,1.03585,0.000352812,0.000352812,0.000352812
31,2302.58,0.51847,0.72027,1.03752,0.6569,0.72845,0.71718,0.65361,0.60425,0.84427,1.03061,0.000321875,0.000321875,0.000321875
32,2375.38,0.50858,0.70125,1.02603,0.61636,0.75981,0.71943,0.65696,0.59532,0.82326,1.02712,0.000290937,0.000290937,0.000290937
33,2446.93,0.50626,0.69012,1.02564,0.62499,0.77301,0.72709,0.6668,0.5786,0.80183,1.01195,0.00026,0.00026,0.00026
34,2518.78,0.49565,0.67615,1.0217,0.66207,0.73529,0.72046,0.66156,0.58467,0.80914,1.02048,0.000229063,0.000229063,0.000229063
35,2591,0.49156,0.63957,1.01437,0.66092,0.74315,0.72549,0.666,0.57119,0.81067,1.00821,0.000198125,0.000198125,0.000198125
36,2663.21,0.48185,0.63868,1.00522,0.66791,0.73575,0.72452,0.66207,0.56892,0.79766,1.00733,0.000167188,0.000167188,0.000167188
37,2735.5,0.47435,0.62027,1.00516,0.65638,0.74823,0.72642,0.66364,0.57061,0.80983,1.00391,0.00013625,0.00013625,0.00013625
38,2807.37,0.47737,0.61529,1.00561,0.70466,0.71476,0.7195,0.66129,0.55604,0.79412,0.99967,0.000105312,0.000105312,0.000105312
39,2879.82,0.47379,0.59857,0.99784,0.65126,0.75114,0.72291,0.66456,0.57161,0.79752,1.00376,7.4375e-05,7.4375e-05,7.4375e-05
40,2950.74,0.46585,0.58852,0.99991,0.64142,0.76082,0.72469,0.66605,0.5652,0.79192,1.00383,4.34375e-05,4.34375e-05,4.34375e-05
