epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8261,0.95336,1.96283,1.4167,0.34806,0.55105,0.44238,0.32553,1.11666,2.52424,1.67518,0.000411325,0.000411325,0.000411325
2,116.385,1.04655,1.56463,1.42579,0.32699,0.45236,0.35714,0.20677,1.48459,2.91913,2.26481,0.000822527,0.000822527,0.000822527
3,164.005,1.06904,1.43547,1.44479,0.56664,0.04123,0.0242,0.00789,3.42139,4.32162,4.2731,0.00122823,0.00122823,0.00122823
4,212.088,0.9791,1.328,1.38671,0.32527,0.28411,0.09797,0.03848,2.38106,7.28851,2.55186,0.00122525,0.00122525,0.00122525
5,259.849,0.94491,1.29386,1.36831,0.37276,0.51515,0.38559,0.27832,1.09718,2.86578,1.59243,0.001217,0.001217,0.001217
6,307.281,0.93062,1.22038,1.34083,0.73363,0.63989,0.54647,0.43655,0.96462,1.33678,1.40367,0.00120875,0.00120875,0.00120875
7,357.39,0.87469,1.18247,1.31272,0.73641,0.62629,0.55502,0.46627,0.94762,1.44714,1.33499,0.0012005,0.0012005,0.0012005
8,405.558,0.86582,1.17202,1.30878,0.48685,0.67982,0.56539,0.48236,0.88796,1.30596,1.32064,0.00119225,0.00119225,0.00119225
9,453.922,0.8467,1.15392,1.29816,0.43896,0.65805,0.48446,0.41729,0.92426,1.65248,1.34774,0.001184,0.001184,0.001184
10,501.493,0.84963,1.12865,1.28876,0.48063,0.68554,0.59035,0.50655,0.85629,1.43457,1.27218,0.00117575,0.00117575,0.00117575
11,549.544,0.84925,1.13611,1.29505,0.49643,0.67049,0.56574,0.48893,0.86687,1.58649,1.29833,0.0011675,0.0011675,0.0011675
12,597.387,0.83945,1.10405,1.29056,0.5642,0.65483,0.5889,0.50083,0.80069,1.25733,1.24096,0.00115925,0.00115925,0.00115925
13,645.241,0.81166,1.11064,1.2744,0.49841,0.69784,0.61359,0.54022,0.79949,1.25251,1.23134,0.001151,0.001151,0.001151
14,698.736,0.80779,1.1045,1.2697,0.50569,0.6421,0.5297,0.46652,0.83354,1.71985,1.25333,0.00114275,0.00114275,0.00114275
15,746.72,0.78844,1.06624,1.25417,0.6291,0.63828,0.61919,0.55193,0.79426,1.11149,1.19432,0.0011345,0.0011345,0.0011345
16,800.886,0.79037,1.07504,1.2566,0.50449,0.6914,0.57718,0.50919,0.78728,1.19934,1.24716,0.00112625,0.00112625,0.00112625
17,848.738,0.80785,1.08056,1.26587,0.65539,0.55761,0.50588,0.43211,0.89248,1.50888,1.26563,0.001118,0.001118,0.001118
18,896.541,0.77064,1.05122,1.24633,0.51316,0.71921,0.59468,0.52714,0.76989,1.13969,1.18441,0.00110975,0.00110975,0.00110975
19,944.471,0.76545,1.05729,1.23739,0.50023,0.66359,0.5761,0.50787,0.81006,1.36238,1.24922,0.0011015,0.0011015,0.0011015
20,992.232,0.77571,1.04716,1.2482,0.58033,0.66154,0.60659,0.54461,0.71186,1.05972,1.17245,0.00109325,0.00109325,0.00109325
21,1040,0.76926,1.04761,1.24351,0.49973,0.57961,0.51791,0.43826,0.86168,1.71038,1.29706,0.001085,0.001085,0.001085
22,1087.87,0.78219,1.05525,1.25892,0.75013,0.66439,0.62071,0.54452,0.77226,1.08489,1.20843,0.00107675,0.00107675,0.00107675
23,1135.96,0.77327,1.03516,1.25328,0.50386,0.74055,0.61808,0.54913,0.75078,1.14503,1.18713,0.0010685,0.0010685,0.0010685
24,1183.93,0.74046,1.01402,1.22343,0.49128,0.73358,0.61153,0.54296,0.74432,1.17033,1.18345,0.00106025,0.00106025,0.00106025
25,1231.8,0.76191,1.00669,1.24644,0.53238,0.69488,0.61981,0.55462,0.74166,1.19949,1.16306,0.001052,0.001052,0.001052
26,1286.18,0.73507,1.02153,1.22934,0.48665,0.71663,0.6087,0.54283,0.74968,1.22453,1.18758,0.00104375,0.00104375,0.00104375
27,1334.09,0.74635,1.00495,1.2312,0.5026,0.70064,0.60385,0.54603,0.72586,1.2612,1.15763,0.0010355,0.0010355,0.0010355
28,1382.3,0.76111,1.009,1.24152,0.53968,0.73841,0.62805,0.55895,0.71386,1.02441,1.16798,0.00102725,0.00102725,0.00102725
29,1453.61,0.75049,0.99329,1.23162,0.55557,0.73414,0.63607,0.56491,0.70195,1.00669,1.13079,0.001019,0.001019,0.001019
30,1507.1,0.74879,1.01495,1.22948,0.51335,0.73958,0.62849,0.56861,0.70145,1.01658,1.14371,0.00101075,0.00101075,0.00101075
31,1560.92,0.72558,0.99017,1.20409,0.49625,0.69436,0.60887,0.54762,0.72684,1.24318,1.14092,0.0010025,0.0010025,0.0010025
32,1608.57,0.7589,0.98102,1.23932,0.49998,0.7567,0.63434,0.56781,0.70236,1.05874,1.14258,0.00099425,0.00099425,0.00099425
33,1656.43,0.73265,0.98685,1.22072,0.51501,0.75561,0.63981,0.57871,0.71666,0.99628,1.14824,0.000986,0.000986,0.000986
34,1709.96,0.70463,0.94794,1.20309,0.50963,0.7468,0.63636,0.58088,0.71071,1.02041,1.14034,0.00097775,0.00097775,0.00097775
